tax_code,company_name,industry,province,year,revenue,cost_of_goods,operating_expenses,total_expenses,gross_profit,net_profit,tax_paid,vat_input,vat_output,num_employees,registered_capital,industry_avg_profit_margin,fraud_label
1000003833,DNTN Kim Long Hà Nội,Du lịch & Khách sạn,Khánh Hòa,2022,3147229611.88,2488653516.04,423363406.51,2912016922.55,658576095.84,235212689.33,48137073.51,236248311.89,316001631.0,38,1562771198.18,0.08,0
0400002158,Công ty TNHH MTV Tiến Đạt Hà Nội,May mặc & Giầy da,Khánh Hòa,2023,2873861064.77,1925304396.03,154191324.25,2079495720.27,948556668.75,794365344.5,161258116.91,176717686.04,280512377.99,69,138310922502.32,0.06,0
0200004389,Công ty TNHH MTV Minh Đức Quốc tế,Y tế & Dược phẩm,TP.HCM,2022,2271106489.94,1391955877.46,169487689.38,1561443566.84,879150612.48,709662923.1,152448094.8,139013875.16,225501408.34,12,7357743152.83,0.14,0
1000000287,Công ty CP Đông Á Quốc tế,Nông nghiệp,Khánh Hòa,2023,13554439871.98,9335030154.12,1139955735.6,10474985889.71,4219409717.86,3079453982.26,672782461.52,849149730.46,1361869659.99,21,205834564.46,0.05,0
0500001990,Công ty TNHH MTV Tiến Đạt Việt Nam,Viễn thông,TP.HCM,2022,11413727745.57,6513693948.17,777596388.11,7291290336.29,4900033797.4,4122437409.29,757368822.35,594000238.54,1156687482.24,61,709880519.55,0.13,0
0800002235,Tập đoàn Tân Phong,Viễn thông,Nghệ An,2023,15688780417.43,8792465013.0,1743291996.18,10535757009.18,6896315404.44,5153023408.26,992159269.23,848151240.58,1492938340.47,50,4360452654.84,0.13,0
0600001005,HTX Bắc Sơn Hà Nội,Y tế & Dược phẩm,Đà Nẵng,2024,19488565938.02,15520471230.71,2561447288.11,18081918518.82,3968094707.31,1406647419.2,306062985.81,1491751440.64,1967330696.35,56,1612008256.42,0.14,0
0600001260,Xí nghiệp Thuận Phát Việt Nam,Khoáng sản & Năng lượng,Đà Nẵng,2023,13745886262.21,9962230194.55,829144933.26,10791375127.81,3783656067.66,2954511134.4,563175499.64,971926958.87,1418130464.68,59,886588999.9,0.11,0
0500001299,DNTN Tín Nghĩa Miền Nam,Khoáng sản & Năng lượng,Khánh Hòa,2023,12649720488.65,8251526086.11,1754614842.01,10006140928.12,4398194402.54,2643579560.53,540359191.81,842873446.25,1303289208.46,77,3100052578.86,0.11,0
0100000750,Xí nghiệp Tân Phong Miền Nam,Nông nghiệp,Bà Rịa-VT,2022,10687818931.88,6555263609.81,774997196.69,7330260806.5,4132555322.07,3357558125.38,612465004.25,654551256.75,1025380782.8,83,957754449.65,0.05,0
