participant_id,task_id,mode,completed,accuracy,time_seconds,confidence
E01,T01,legal,True,True,206.8,4
E01,T02,legal,True,True,219.2,4
E01,T03,fraud,False,False,148.4,4
E01,T04,vat,True,True,167.5,5
E01,T05,delinquency,True,True,200.6,4
E01,T06,macro,True,True,127.4,5
E01,T07,legal,True,True,148.3,5
E01,T08,full,True,True,266.5,4
E01,T09,legal,True,True,136.8,5
E01,T10,vat,True,True,281.0,5
E02,T01,legal,True,True,99.2,5
E02,T02,legal,True,True,171.4,5
E02,T03,fraud,True,True,217.3,4
E02,T04,vat,True,True,193.1,4
E02,T05,delinquency,False,False,229.7,3
E02,T06,macro,True,True,141.9,4
E02,T07,legal,True,True,167.5,4
E02,T08,full,False,False,118.0,4
E02,T09,legal,True,True,175.0,5
E02,T10,vat,False,False,248.3,3
E03,T01,legal,True,True,99.7,5
E03,T02,legal,True,True,160.8,5
E03,T03,fraud,True,True,163.3,4
E03,T04,vat,True,True,270.3,4
E03,T05,delinquency,True,True,259.9,4
E03,T06,macro,False,False,267.7,3
E03,T07,legal,True,True,166.6,5
E03,T08,full,False,False,92.4,4
E03,T09,legal,True,True,161.9,5
E03,T10,vat,True,True,243.2,5
E04,T01,legal,True,True,142.8,4
E04,T02,legal,True,True,146.5,5
E04,T03,fraud,True,True,177.8,5
E04,T04,vat,True,True,296.4,4
E04,T05,delinquency,True,True,179.8,4
E04,T06,macro,False,False,115.9,2
E04,T07,legal,True,True,108.0,5
E04,T08,full,True,True,240.5,5
E04,T09,legal,True,True,171.0,5
E04,T10,vat,False,False,111.1,4
E05,T01,legal,True,True,120.0,5
E05,T02,legal,True,True,227.7,5
E05,T03,fraud,True,True,198.8,5
E05,T04,vat,True,True,270.9,5
E05,T05,delinquency,True,True,171.7,5
E05,T06,macro,False,False,292.9,3
E05,T07,legal,True,True,257.0,4
E05,T08,full,True,True,182.0,5
E05,T09,legal,False,False,241.9,3
E05,T10,vat,True,True,238.7,4
E06,T01,legal,True,True,120.4,5
E06,T02,legal,True,True,88.3,5
E06,T03,fraud,True,True,218.3,5
E06,T04,vat,True,True,222.4,5
E06,T05,delinquency,True,True,149.1,5
E06,T06,macro,True,True,227.8,4
E06,T07,legal,False,False,239.4,4
E06,T08,full,True,True,258.5,5
E06,T09,legal,True,True,232.7,5
E06,T10,vat,True,True,188.2,5
E07,T01,legal,True,True,212.2,5
E07,T02,legal,True,True,129.1,5
E07,T03,fraud,True,True,140.5,5
E07,T04,vat,True,True,266.0,5
E07,T05,delinquency,False,False,243.2,2
E07,T06,macro,True,True,180.7,5
E07,T07,legal,True,True,126.8,5
E07,T08,full,True,True,159.7,5
E07,T09,legal,False,False,230.3,4
E07,T10,vat,True,True,203.7,5
E08,T01,legal,True,True,158.4,5
E08,T02,legal,True,True,245.5,5
E08,T03,fraud,True,True,228.6,5
E08,T04,vat,True,True,142.8,4
E08,T05,delinquency,True,True,161.1,5
E08,T06,macro,True,True,230.3,5
E08,T07,legal,True,True,233.2,5
E08,T08,full,True,True,165.4,5
E08,T09,legal,True,True,206.2,5
E08,T10,vat,True,True,198.9,5
E09,T01,legal,True,True,255.4,5
E09,T02,legal,True,True,102.7,5
E09,T03,fraud,True,True,82.2,5
E09,T04,vat,True,True,183.2,5
E09,T05,delinquency,False,False,235.1,2
E09,T06,macro,True,True,174.9,4
E09,T07,legal,True,True,203.6,5
E09,T08,full,True,True,208.5,5
E09,T09,legal,True,True,180.5,5
E09,T10,vat,True,True,255.7,5
E10,T01,legal,True,True,134.7,5
E10,T02,legal,False,False,168.9,2
E10,T03,fraud,True,True,240.1,5
E10,T04,vat,True,True,97.4,5
E10,T05,delinquency,False,False,183.5,2
E10,T06,macro,False,False,147.8,2
E10,T07,legal,True,True,111.5,5
E10,T08,full,False,False,213.2,4
E10,T09,legal,True,True,153.5,5
E10,T10,vat,True,True,269.6,5
